sentence,feat_ending,feat_strat_cnt,feat_command,feat_attack,feat_power,feat_distance,feat_indirect,score
송구하네요. 환영합니다. 회의 준비해주세요.,1,1,1,0,0,1,0,1.5
"제일 먼저 AI 허브가 뜨는데, 그거 위키에는 나와 있는지만 좀 봅시다.",2,0,0,0,1,1,0,1.0
응. 컴패니언 기록 성능이 아주 좋은데? 빠짐없이 잘 기록했어.,0,0,0,0,0,0,0,0.0
정말 죄송하지만 잠시 양해 부탁드려도 되시겠습니까?,2,2,0,0,0,2,2,2.5
혹시 시간 괜찮으시다면 자료 검토해 주실 수 있으시겠습니까?,2,1,0,0,0,2,2,2.5
고객님  불편을 드려 대단히 죄송합니다. 잠시만 기다려 주시겠습니까?,2,1,1,0,0,0,1,3.0
회장님께서 직접 확인해 주시겠습니까?,2,1,1,0,2,2,1,2.5
사장님께 보고서 송부해 주실 수 있으시겠습니까?,2,1,1,0,2,2,2,2.5
혹시 정말 죄송하지만 자리 비워두실 수 있으시겠습니까?,2,2,0,0,0,2,2,2.5
도대체 왜 그렇게밖에 못합니까?,1,0,1,2,2,1,0,-1.5
그딴 말은 집어치우고 당장 꺼져!,2,0,2,2,2,0,0,-3.0
닥치고 지금 바로 파일 보내라!,2,0,2,2,2,0,0,-3.0
내가 하라는 대로 그대로 따라.,2,0,2,1,2,0,0,-2.5
그건 좀 아니지 않나요?,1,0,1,1,1,2,0,-1.0
도대체 왜 아직도 안 했어?,1,0,1,2,2,1,0,-2.0
그렇게 멍청하게 굴 거야?,1,0,1,2,2,1,0,-3.0
야 이딴 걸 또 해?,2,0,2,2,2,0,0,-3.0
정말 감사드리며 다시 한 번 부탁드립니다.,1,2,1,0,0,2,1,2.0
실례지만 자료를 한번만 검토해 주실 수 있으실까요?,2,2,1,0,0,2,1,2.5
혹시 가능하시다면 오늘 중으로 도와주실 수 있으실까요?,2,2,1,0,0,2,2,2.5
정말 죄송합니다만 곧바로 조치 부탁드립니다.,1,2,1,0,0,2,1,2.0
야 얼른 이거 해라!,2,0,2,1,2,0,0,-2.0
지금 당장 그만둬!,2,0,2,2,2,0,0,-2.5
멍청한 소리 그만하고 빨리 제출해.,2,0,2,2,2,0,0,-3.0
시간 괜찮으시면 잠깐 이야기 나눌 수 있을까요?,1,1,0,0,0,2,2,1.5
혹시 불편하셨다면 진심으로 사과드립니다.,1,2,0,0,0,2,1,2.0
귀하께서는 서명해 주실 수 있으시겠습니까?,2,1,1,0,2,2,2,2.5
고객님 추가 안내 드려도 괜찮으시겠어요?,2,1,1,0,2,2,2,2.0
야  그딴 변명 하지 마!,2,0,2,2,2,0,0,-3.0
이거 지금 처리해 줘.,1,0,2,0,2,1,0,-1.0
빨리 하시죠.,1,0,2,0,2,2,0,-0.5
혹시 자리 비워두실 수 있으실까요? 정말 죄송합니다.,2,2,1,0,0,2,2,2.5
정말 감사드리며  다시 한번 정중히 부탁드립니다.,1,2,1,0,0,2,1,2.5
이 문장은 공손하지 않고  또한 무례하기까지 합니다.,1,0,0,0,2,2,0,0.0
그따위 일은 하지 말라고 했지?,2,0,2,2,2,0,0,-2.5
귀하의 협조를 정중히 부탁드립니다.,2,2,1,0,2,2,1,2.5
어르신  잠시만 기다려 주시겠습니까?,2,1,1,0,2,2,1,2.5
님  파일 좀 보내줄래요?,1,1,1,0,1,1,1,0.5
선생님  설명 부탁드립니다.,1,1,1,0,2,2,0,1.5
야야  여기 앉아봐.,2,0,2,0,1,0,0,-1.5
혹시 지금 바로 검토해 주실 수 있으신지요?,2,2,1,0,0,2,2,2.5
죄송하지만,2,2,1,0,0,2,2,2.0
정말 실례지만 자리 좀 바꿔주실 수 있으시겠습니까?,2,2,1,0,0,2,2,2.5
너 지금 장난해?,2,0,2,1,2,0,0,-2.0
고객님께서 요청하신 사항을 반영해 드리겠습니다.,2,1,0,0,2,2,0,2.0
도대체 왜 그따위로 처리했어?,2,0,1,2,2,1,0,-2.0
병신 같은 소리 하지 마!,0,0,2,2,2,0,0,-3.0
실례가 안 된다면 자리 좀 바꿔주실 수 있으실까요?,2,2,1,0,0,2,2,2.5
죄송합니다. 곧바로 수정하겠습니다.,2,1,0,0,0,2,0,1.5
혹시 오늘 안에 가능하실까요? 정말 부탁드립니다.,1,2,1,0,0,2,2,2.0
정말 감사하고 또 감사드립니다!,2,2,0,0,0,2,0,2.0
바보 같은 짓 그만해.,2,0,2,2,2,0,0,-2.5
빨리빨리 해!,2,0,2,1,2,0,0,-2.0
지금 바로 보고서 가져오거라.,2,0,2,1,2,0,0,-2.5
귀하의 협조 없이는 진행이 어렵습니다. 도와주시겠습니까?,2,1,1,0,2,2,2,2.0
고객님  잠시만 양해 부탁드립니다.,2,1,1,0,2,2,1,2.0
정중히 요청드립니다. 검토해 주시겠어요?,2,2,1,0,0,2,1,2.0
왜 아직도 그런 실수를 하십니까?,1,0,1,2,2,2,0,-1.0
야 그 파일 빨리 보내라!,2,0,2,1,2,0,0,-2.5
정말 죄송하지만 바로 확인 부탁드립니다.,1,2,1,0,0,2,1,2.0
어르신  잠시만 기다려 주시겠습니까?,2,2,1,0,0,2,2,3.0
감사 인사를 드리며 다시 한번 부탁드립니다.,1,2,1,0,0,2,1,2.0
당장 조용히 해!,2,0,2,2,2,0,0,-3.0
넌 진짜 멍청하기 짝이 없다. 도대체 생각이라는 걸 하고 사냐?,0,0,0,2,0,0,0,-3.0
"입만 열면 거짓말이네, 사람 취급도 아깝다.",0,0,0,2,0,0,0,-3.0
